CMDLINE python transppi_timespace.py
MEM 376.605469 1730778772.7058
MEM 377.636719 1730778772.8061
MEM 378.667969 1730778772.9065
MEM 378.925781 1730778773.0068
MEM 379.441406 1730778773.1071
MEM 380.214844 1730778773.2075
MEM 380.988281 1730778773.3078
MEM 381.761719 1730778773.4081
MEM 382.277344 1730778773.5085
MEM 382.277344 1730778773.6088
MEM 382.792969 1730778773.7091
MEM 383.308594 1730778773.8094
MEM 383.566406 1730778773.9098
MEM 384.339844 1730778774.0101
MEM 384.855469 1730778774.1105
MEM 385.371094 1730778774.2108
MEM 386.144531 1730778774.3111
MEM 386.660156 1730778774.4115
MEM 386.917969 1730778774.5118
MEM 386.917969 1730778774.6121
MEM 388.464844 1730778774.7125
MEM 388.980469 1730778774.8128
MEM 389.753906 1730778774.9131
MEM 390.785156 1730778775.0135
MEM 391.558594 1730778775.1138
MEM 392.332031 1730778775.2144
MEM 392.589844 1730778775.3148
MEM 393.105469 1730778775.4151
MEM 393.621094 1730778775.5154
MEM 394.136719 1730778775.6158
MEM 394.652344 1730778775.7162
MEM 395.167969 1730778775.8166
MEM 396.199219 1730778775.9169
MEM 397.230469 1730778776.0172
MEM 397.746094 1730778776.1175
MEM 397.746094 1730778776.2179
MEM 398.261719 1730778776.3182
MEM 398.519531 1730778776.4185
MEM 399.035156 1730778776.5188
MEM 399.292969 1730778776.6192
MEM 400.066406 1730778776.7195
MEM 400.839844 1730778776.8199
MEM 402.128906 1730778776.9205
MEM 402.644531 1730778777.0208
MEM 403.160156 1730778777.1212
MEM 404.191406 1730778777.2215
MEM 404.449219 1730778777.3218
MEM 405.480469 1730778777.4221
MEM 405.738281 1730778777.5225
MEM 405.996094 1730778777.6228
MEM 406.253906 1730778777.7232
MEM 407.027344 1730778777.8235
MEM 407.800781 1730778777.9238
MEM 408.058594 1730778778.0241
MEM 408.574219 1730778778.1245
MEM 409.089844 1730778778.2248
MEM 409.863281 1730778778.3251
MEM 410.378906 1730778778.4255
MEM 410.894531 1730778778.5258
MEM 411.667969 1730778778.6261
MEM 411.925781 1730778778.7265
MEM 412.183594 1730778778.8268
MEM 412.441406 1730778778.9271
MEM 412.699219 1730778779.0274
MEM 413.214844 1730778779.1278
MEM 413.472656 1730778779.2281
MEM 414.503906 1730778779.3284
MEM 415.019531 1730778779.4288
MEM 415.535156 1730778779.5291
MEM 415.792969 1730778779.6294
MEM 416.566406 1730778779.7297
MEM 417.082031 1730778779.8301
MEM 417.597656 1730778779.9304
MEM 418.371094 1730778780.0307
MEM 419.144531 1730778780.1310
MEM 419.660156 1730778780.2314
MEM 419.917969 1730778780.3317
MEM 420.691406 1730778780.4320
MEM 421.207031 1730778780.5324
MEM 421.464844 1730778780.6328
MEM 422.238281 1730778780.7331
MEM 423.011719 1730778780.8335
MEM 423.269531 1730778780.9338
MEM 423.785156 1730778781.0341
MEM 424.554688 1730778781.1345
MEM 424.812500 1730778781.2348
MEM 425.328125 1730778781.3352
MEM 426.359375 1730778781.4355
MEM 426.875000 1730778781.5359
