Threshold	Specificity
0.003246	-85.83679798826488
0.003217	-86.28977367979883
0.003196	-86.7444258172674
0.003125	-87.20075440067058
0.003079	-87.65875943000839
0.003069	-88.1184409052808
0.002982	-88.57820620284996
0.002893	-89.03805532271585
0.002874	-89.49958088851635
0.002868	-89.96278290025147
0.002814	-90.42606873428332
0.002759	-90.8894383906119
0.002735	-91.3544844928751
0.002706	-91.82120704107292
0.002678	-92.28801341156748
0.002656	-92.75649622799665
0.00257	-93.22506286672255
0.002568	-93.69388097233865
0.00253	-94.16437552388935
0.002509	-94.63654652137468
0.002381	-95.11039396479464
0.00238	-95.5859178541492
0.002377	-96.06152556580051
0.00237	-96.53880972338642
0.002314	-97.01617770326907
0.002312	-97.49522212908634
0.002273	-97.97435037720034
0.002266	-98.45515507124895
0.002255	-98.93763621123219
0.002219	-99.42179379715004
0.002201	-99.9059513830679
0.002186	-100.39178541492036
0.002165	-100.87929589270746
0.002158	-101.36689019279129
0.002151	-101.85616093880972
0.002149	-102.34710813076278
0.00214	-102.83813914501258
0.002107	-103.33084660519698
0.002094	-103.82363788767812
0.002081	-104.316512992456
0.002075	-104.81106454316848
0.002053	-105.30729253981559
0.002051	-105.80519698239732
0.002014	-106.30477787091367
0.002002	-106.80603520536462
0.001981	-107.30737636211232
0.001968	-107.81039396479464
0.001958	-108.31508801341157
0.001952	-108.82154233025985
0.001942	-109.32967309304274
0.001931	-109.83948030176026
0.001928	-110.34945515507125
0.001923	-110.86110645431685
0.001914	-111.37443419949706
0.001908	-111.88784576697401
0.001897	-112.40293378038558
0.00189	-112.91810561609388
0.001874	-113.43327745180218
0.001852	-113.95012573344509
0.001847	-114.46865046102263
0.001841	-114.98885163453478
0.001839	-115.50913663034368
0.00181	-116.03109807208718
0.001786	-116.5547359597653
0.001767	-117.07845766974015
0.001759	-117.60385582564962
0.001729	-118.13093042749371
0.001704	-118.65808885163453
0.001703	-119.18524727577535
0.001698	-119.7140821458508
0.001694	-120.24459346186086
0.001693	-120.77518860016764
0.001689	-121.30746018440905
0.00168	-121.84140821458507
0.001661	-122.37703269069573
0.00166	-122.9127409891031
0.001656	-123.45012573344509
0.001633	-123.98759430008383
0.001631	-124.52514668901928
0.001629	-125.06437552388935
0.001628	-125.60528080469405
0.001589	-126.1463537300922
0.001588	-126.68910310142498
0.001577	-127.23202011735121
0.001552	-127.77661357921207
0.001511	-128.32288348700754
0.001491	-128.86932103939648
0.001461	-129.41743503772003
0.001457	-129.9656328583403
0.001449	-130.51391450125735
0.001397	-131.0622799664711
0.001394	-131.61232187761945
0.001382	-132.1623637887678
0.001372	-132.7124895222129
0.001359	-133.2642917015926
0.001346	-133.81617770326906
0.001322	-134.36974015088015
0.001288	-134.9249790444258
0.001284	-135.4818943839061
0.001276	-136.04048616932104
0.001271	-136.60075440067058
0.001263	-137.16110645431684
0.001261	-137.72313495389773
0.001253	-138.28683989941325
0.001243	-138.85222129086338
0.001233	-139.41768650461023
0.001211	-139.9848281642917
0.001207	-140.5536462699078
0.001204	-141.1241408214585
0.0012	-141.69631181894383
0.001186	-142.2685666387259
0.001176	-142.8409052808047
0.001174	-143.41324392288348
0.001167	-143.98575020955573
0.001157	-144.55993294216262
0.001147	-145.1357921207041
0.001141	-145.7133277451802
0.001134	-146.2926236378877
0.001096	-146.87200335289188
0.001092	-147.45305951383068
0.001085	-148.03419949706623
0.001084	-148.6154233025985
0.001077	-149.1984073763621
0.001064	-149.78147527242245
0.001062	-150.36462699077956
0.001046	-150.94945515507126
0.001041	-151.53595976529758
0.001028	-152.1241408214585
0.001026	-152.71399832355405
0.001017	-153.30393964794635
0.001007	-153.89555741827326
0.001003	-154.4872590108969
0.000992	-155.08063704945516
0.00099	-155.67569153394803
0.000986	-156.27082984073763
0.000975	-156.8677284157586
0.000969	-157.46630343671416
0.000967	-158.0666387259011
0.000957	-158.66714165968148
0.000954	-159.2677284157586
0.000943	-159.86999161777032
0.00094	-160.4723386420788
0.000937	-161.07636211232187
0.000935	-161.6804694048617
0.000933	-162.28625314333613
0.000932	-162.8921207041073
0.000928	-163.49966471081308
0.000927	-164.10888516345346
0.000926	-164.7197820620285
0.000924	-165.33076278290025
0.00092	-165.94191114836548
0.000917	-166.55314333612742
0.00091	-167.16445934618608
0.000905	-167.77585917854148
0.000899	-168.38893545683152
0.000897	-169.00209555741827
0.000888	-169.61693210393966
0.000881	-170.23352891869237
0.000879	-170.85180217937972
0.000875	-171.47175188600167
0.000872	-172.09178541492037
0.000871	-172.71349538977367
0.00086	-173.33528918692372
0.000858	-173.95716680637048
0.000852	-174.57921207041073
0.000846	-175.2029337803856
0.000837	-175.82673931265717
0.000831	-176.4506286672255
0.000827	-177.0761944677284
0.000817	-177.70184409052808
0.000813	-178.32757753562447
0.000812	-178.9533948030176
0.000808	-179.5793797150042
0.000803	-180.2054484492875
0.000798	-180.83160100586755
0.000794	-181.45783738474435
0.000792	-182.08575020955575
0.000787	-182.71533948030176
0.000773	-183.3466051969824
0.000769	-183.97795473595977
0.000768	-184.60938809723388
0.000767	-185.2424979044426
0.000763	-185.87896060352054
0.000757	-186.5155071248952
0.000741	-187.1520536462699
0.000739	-187.7902766135792
0.000738	-188.43017602682315
0.000737	-189.0701592623638
0.00073	-189.71031014249792
0.000727	-190.35222129086338
0.000725	-190.99421626152557
0.000722	-191.63788767812238
0.000719	-192.28164291701592
0.000716	-192.9254819782062
0.000711	-193.56940486169322
0.000708	-194.21349538977367
0.000706	-194.85926236378876
0.000704	-195.50670578373848
0.000703	-196.15431684828164
0.000701	-196.80586756077116
0.0007	-197.46077116512993
0.000696	-198.11584241408215
0.000681	-198.77259010896898
0.00068	-199.43101424979045
0.000677	-200.09111483654652
0.000674	-200.75129924559934
0.000673	-201.41156747694887
0.00067	-202.0723386420788
0.000666	-202.73319362950545
0.00066	-203.39413243922883
0.000657	-204.05674769488684
0.000656	-204.72103939647945
0.000654	-205.38541492036882
0.000651	-206.0498742665549
0.00065	-206.7160100586756
0.000646	-207.38382229673093
0.000643	-208.05347862531434
0.00064	-208.72321877619447
0.000634	-209.39304274937135
0.000633	-210.06454316848283
0.000631	-210.73612740989103
0.000625	-211.40938809723386
0.000614	-212.08273260687344
0.000613	-212.75616093880973
0.000612	-213.43294216261526
0.00061	-214.1098072087175
0.000608	-214.7867560771165
0.000593	-215.46378876781225
0.000589	-216.1409052808047
0.000588	-216.8197820620285
0.000587	-217.49882648784578
0.000586	-218.17795473595976
0.000584	-218.8571668063705
0.000583	-219.53805532271585
0.000582	-220.22062028499582
0.00058	-220.90494551550714
0.000578	-221.59094719195306
0.00057	-222.27703269069573
0.000568	-222.964794635373
0.000564	-223.65264040234703
0.000563	-224.34216261525566
0.000562	-225.03344509639564
0.000559	-225.72648784576697
0.000555	-226.42120704107293
0.000551	-227.1176026823135
0.000547	-227.8140821458508
0.000546	-228.5122380553227
0.000544	-229.21047778709138
0.000538	-229.90880134115676
0.000536	-230.60880134115675
0.000535	-231.30888516345348
0.000534	-232.00913663034368
0.000529	-232.70947191953059
0.000528	-233.40989103101424
0.000527	-234.11039396479464
0.000524	-234.81098072087175
0.000522	-235.51165129924559
0.00051	-236.21399832355405
0.000504	-236.91802179379715
0.0005	-237.62212908633697
0.000496	-238.32799664710814
0.000491	-239.03394803017602
0.000488	-239.7400670578374
0.000483	-240.44626990779548
0.000481	-241.1525565800503
0.00048	-241.85901089689858
0.000479	-242.56571668063705
0.000475	-243.27577535624476
0.000473	-243.9859178541492
0.000471	-244.69773679798826
0.000469	-245.40963956412406
0.000466	-246.1216261525566
0.00046	-246.83369656328583
0.000455	-247.5458507963118
0.000454	-248.25808885163454
0.000451	-248.97041072925398
0.00045	-249.68281642917015
0.000449	-250.39689857502097
0.000448	-251.11265716680637
0.000446	-251.8300922045264
0.000442	-252.5492875104778
0.00044	-253.2685666387259
0.000439	-253.98792958927075
0.000438	-254.7073763621123
0.000437	-255.4284995808885
0.000436	-256.14970662196146
0.000435	-256.8711651299246
0.000432	-257.5927074601844
0.00043	-258.31592623637886
0.000423	-259.0392288348701
0.000422	-259.76429170159264
0.000421	-260.48952221290864
0.000416	-261.2181056160939
0.000412	-261.9485331098072
0.00041	-262.67904442581727
0.000409	-263.40963956412406
0.000408	-264.1404023470243
0.000406	-264.87124895222126
0.000402	-265.6037720033529
0.000399	-266.3363788767812
0.000398	-267.07066219614416
0.000395	-267.80502933780383
0.000385	-268.539564124057
0.000384	-269.27409891031016
0.000381	-270.01198658843253
0.000379	-270.74995808885166
0.000372	-271.4880972338642
0.00037	-272.2263202011735
0.000369	-272.96462699077955
0.000367	-273.70301760268234
0.000362	-274.4431684828164
0.000356	-275.1834031852473
0.000354	-275.92380553227156
0.000353	-276.6642917015926
0.000347	-277.4048616932104
0.000345	-278.1455155071249
0.000344	-278.887845766974
0.000341	-279.6303436714166
0.00034	-280.3745180217938
0.000334	-281.1187761944677
0.000332	-281.86328583403184
0.00033	-282.6078792958927
0.000329	-283.3542330259849
0.000328	-284.10067057837387
0.000327	-284.8471919530595
0.000324	-285.5937971500419
0.000321	-286.34207879295894
0.00032	-287.0906119027661
0.000315	-287.8424979044426
0.000314	-288.59446772841574
0.000313	-289.3481139983235
0.00031	-290.10184409052806
0.000309	-290.85565800502934
0.000308	-291.6095557418273
0.000303	-292.363537300922
0.000298	-293.1176026823135
0.000292	-293.8718357082984
0.000291	-294.62782900251466
0.00029	-295.3839899413244
0.000289	-296.1418273260687
0.000288	-296.9013411567477
0.000287	-297.6610226320201
0.000281	-298.4223805532272
0.00028	-299.1838222967309
0.000278	-299.9471081307628
0.000277	-300.71047778709135
0.000276	-301.47393126571666
0.000275	-302.2374685666387
0.000273	-303.0010896898575
0.00027	-303.7664710813076
0.000269	-304.53202011735124
0.000268	-305.2976529756915
0.000267	-306.0651299245599
0.000265	-306.8328583403185
0.000264	-307.6023470243085
0.000263	-308.37191953059516
0.000262	-309.14157585917854
0.000261	-309.91131601005867
0.00026	-310.68113998323554
0.000259	-311.45272422464376
0.000258	-312.22606873428333
0.000256	-312.9994970662196
0.000255	-313.7746018440905
0.000254	-314.55138306789604
0.000253	-315.3299245599329
0.000252	-316.1119027661358
0.000251	-316.8939647946354
0.00025	-317.6793797150042
0.000247	-318.46496227996647
0.000243	-319.2523051131601
0.000242	-320.0397317686505
0.000241	-320.82724224643755
0.00024	-321.61483654652136
0.000239	-322.40259849119866
0.000238	-323.19228834870074
0.000237	-323.9821458507963
0.000236	-324.7720871751886
0.000235	-325.562615255658
0.000234	-326.35322715842415
0.000232	-327.1455993294216
0.000231	-327.9396479463537
0.000229	-328.7337803855826
0.000228	-329.52958927074604
0.000227	-330.32740989103104
0.000226	-331.12556580050295
0.000223	-331.92380553227156
0.00022	-332.72238055322714
0.000219	-333.5227158424141
0.000218	-334.32648784576696
0.000215	-335.13042749371334
0.000214	-335.9360435875943
0.00021	-336.7433361274099
0.000209	-337.5507124895222
0.000208	-338.3598491198659
0.000206	-339.169153394803
0.000205	-339.9801341156748
0.000204	-340.79128248114
0.000202	-341.6025146689019
0.000201	-342.4138306789606
0.000198	-343.22531433361274
0.000197	-344.03696563285837
0.000196	-344.85029337803854
0.000195	-345.66378876781226
0.000194	-346.477870913663
0.000193	-347.29530595138306
0.000192	-348.11450125733444
0.000191	-348.9338642078793
0.000188	-349.7549874266555
0.000187	-350.57627829002513
0.000186	-351.3994970662196
0.000184	-352.2244761106454
0.000182	-353.0512154233026
0.000181	-353.87979882648784
0.00018	-354.7084660519698
