virus_unid	human_unid
P03129	Q9HCK8
P03129	Q15022
P06429	P78330
P06429	Q6ZN55
P06429	Q14671
P06429	Q02878
P06429	Q9BUB7
P06429	P47869
P06429	Q16836
P06429	P48047
P03129	P62854
P03129	P00395
P03129	P03905
P03129	P62081
P03129	Q66K74
P06423	Q13263
P06423	P04632
P06423	Q15631
P06423	Q9HB07
P06423	O14735
P06423	Q96BR6
P06423	Q8IWX8
P17382	P42574
P17382	P55210
P03107	Q9HBE1
P03129	Q08050
P03129	Q01860
P03114	Q14145
P04019	O15350
P06791	Q96SB4
P17387	Q13618
P17389	Q5VTR2
P03101	P11142
P17386	Q99436
P06428	Q13546
P06932	P04406
A0A166MB26	P48029
P06429	P05141
P06428	Q9BZA7
P36817	Q13263
P06463	Q8N3R9
Q9QLP4	P24385
P36801	P12004
P24835	P98170
P06463	P08670
P17388	P52294
P03129	Q8N143
P03129	Q9BSF8
P03129	Q9Y297
P03129	Q7Z6M2
P03129	Q9UKB1
P03129	Q76N89
P03129	Q96L50
P03129	Q9BT67
P03129	Q8WV22
P03129	Q13546
P03129	O14508
P03129	Q9Y4K3
P03129	P19474
P03129	O75382
P03129	P98170
P03129	Q96DT7
P03129	O43829
P03129	Q16531
P03129	Q9Y3C5
P03129	Q86TM6
P03129	Q9C019
P03129	Q13042
P03129	Q9UBE0
P03129	Q9HAU4
A0A220NMU2	P06396
A0A220NMU2	Q96DB9
A0A220NMU2	Q76N32
A0A220NMU2	O75147
P03129	Q8IYW5
P36799	O14896
P36799	Q14088
P36799	O94885
P36799	Q13263
P36799	P03891
P36799	Q9HB07
P36799	Q9BPW8
P36799	Q8WXX5
P36778	Q9Y6X2
P36778	Q7L622
P36778	Q96BJ3
P36720	P15927
P06463	Q92796
P06929	P18848
P06929	P36507
P06929	O75528
P06929	Q15582
P06929	O95905
P06929	O00303
P06929	O95551
P06929	P35250
P06929	P05549
P06929	Q6P9H4
P06929	P53041
P06929	P50616
P06929	Q96EK4
P06929	Q92905
P06929	Q92985
P06929	Q9NP84
P06929	O00762
P06929	O14773
P06929	Q9Y244
P06929	P38936
P06929	Q9BYM8
P06929	Q9BY21
P06929	P59190
P06929	Q14116
P06929	P20618
P06929	Q9Y2S7
P06929	Q9Y3C4
P06929	Q8TBR4
P06929	Q14188
P06929	Q9BVX2
P06929	P13693
P06929	Q8IYJ3
P06929	P55327
P06929	P14635
P06929	P28074
P06929	Q14671
P06929	P22234
P06465	Q15572
P06465	Q14168
P06465	Q9UHC7
P06465	Q96PU8
P06465	Q9Y6Q5
P06465	Q16831
P06465	Q9UBS4
P06465	Q15005
P06465	P39023
P06465	P08571
P06465	P17936
P06465	Q96EK4
P06465	P20618
P06465	P16144
P06465	Q8IZC6
P06465	P25106
P06465	P25685
P06465	P60709
P06465	P68104
P06465	P29590
P06465	P04632
P06465	Q96EY1
P06465	O94842
P06465	Q8N1F7
P06465	O60814
P06465	Q13362
P06465	P50479
P06465	Q99729
P06465	Q9UNK0
P06929	P04632
P06929	O96000
P06929	P00338
P06929	P11684
P06929	O75414
P06929	O75880
P06929	P04406
P06929	Q66K74
P06929	P06733
P06465	P00403
P03118	P25787
P03118	Q9BRH9
P03118	O75925
P03129	O75461
P03129	P63279
P03129	P46527
P06465	P35659
B1N884	O15379
P06463	Q15700
P36817	P06733
P36801	P23396
P36801	P36952
P36801	Q5TAQ9
P36801	Q9BQA1
P36817	Q8IWX8
P36817	P62906
P36817	Q9P0J6
P36817	P14550
P36817	O95425
P36780	P11021
P36780	Q8N2W9
P36780	Q9BXK5
P36780	Q9NRL2
P36780	Q96T23
P36780	P51523
P36780	O14617
P36780	P26641
P04019	P04637
P06462	Q13227
P04019	P29597
P06462	Q15942
P04019	Q9UHV2
P04012	O00410
P04012	Q92973
P04012	P52292
P04020	P14618
P06462	Q92793
P04014	P07305
P04020	P01106
P04020	P11308
P04020	P49760
P04017	Q9UMX0
P04020	Q16594
P04020	Q04864
P04020	P15408
P04020	Q13177
P04020	P07196
P04020	P46734
P04020	Q9Y6N9
P04020	Q9Y5V3
P04020	O15350
P04020	Q05516
P04020	P49368
P04020	O43670
P04020	O96013
P04020	Q9H0H5
P04020	Q9Y6J9
P04020	Q7Z3K3
P04020	Q9UKT9
P04020	Q8WWY3
P04020	Q9Y4W2
